QuickSort.java
intput
count: 0-1000
size: 0-3000
range: 0-3000

Total success:              3483985
Correctness ratio:    0.6751908914728683
index   succ    fail    error   ratio
 0          4  53328  66668   0%
 1         49  84958  34993   0%
 2        293  95374  24333   0%
 3       5892   2474  111634   5%
 4      26043      0  93957   22%
 5      118226      0   1774   99%
 6      120000      0      0   100%
 7      120000      0      0   100%
 8      120000      0      0   100%
 9      120000      0      0   100%
 10     120000      0      0   100%
 11     119880      0    120   100%
 12     119834      0    166   100%
 13     119317      0    683   99%
 15     103993      0  16007   87%
 16     83930      0  36070   70%
 17     83422      0  36578   70%
 19     88290      0  31710   74%
 20     98723      0  21277   82%
 21     79868      0  40132   67%
 22     68742      0  51258   57%
 24     20541      0  99459   17%
 25     92593      0  27407   77%
 26     119332      0    668   99%
 29     119980      0     20   100%
 30     119798      0    202   100%
 31     114575      0   5425   95%
 32     97174      0  22826   81%
 33     31580      0  88420   26%
 34     118635      0   1365   99%
 37     120000      0      0   100%
 38     120000      0      0   100%
 39     120000      0      0   100%
 40     120000      0      0   100%
 43     120000      0      0   100%
 44     119953      0     47   100%
 45     115338      0   4662   96%
 46     95980   4526  19494   80%
 47      1999  22123  95878   2%
 48         0  116918   3082   0%
 49         1  106474  13525   0%
 50         0  99258  20742   0%
 51         0  21816  98184   0%

